Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Arsenal,17,12,3,2,31,10,21,39,2.29,28.5,9.8,18.7,1.1,D W L W W,60177,Viktor Gyökeres - 5,David Raya,
2,Manchester City,17,12,1,4,41,16,25,37,2.18,32.4,18.8,13.7,0.8,W W W W W,52382,Erling Haaland - 19,Gianluigi Donnarumma,
3,Aston Villa,17,11,3,3,27,18,9,36,2.12,17.9,22.7,-4.8,-0.28,W W W W W,41687,Morgan Rogers - 7,Emiliano Martínez,
4,Chelsea,17,8,5,4,29,17,12,29,1.71,28.1,22.0,6.1,0.36,D L D W D,39611,"Pedro Neto, João Pedro - 5",Robert Sánchez,
5,Manchester Utd,18,8,5,5,32,28,4,29,1.61,32.7,24.2,8.5,0.47,D W D L W,74004,Bryan Mbeumo - 6,Senne Lammens,
6,Liverpool,17,9,2,6,28,25,3,29,1.71,26.6,20.7,5.9,0.35,W D D W W,60356,Hugo Ekitike - 8,Alisson,
7,Sunderland,17,7,6,4,19,17,2,27,1.59,14.7,22.2,-7.4,-0.44,W D L W D,45968,Wilson Isidor - 4,Robin Roefs,
8,Crystal Palace,17,7,5,5,21,19,2,26,1.53,27.7,21.1,6.6,0.39,L W W L L,25005,Jean-Philippe Mateta - 7,Dean Henderson,
9,Brighton,17,6,6,5,25,23,2,24,1.41,26.5,22.5,4.0,0.23,W L D L D,31445,Danny Welbeck - 7,Bart Verbruggen,
10,Everton,17,7,3,7,18,20,-2,24,1.41,19.7,23.9,-4.1,-0.24,L W W L L,52145,"Kiernan Dewsbury-Hall, Iliman Ndiaye - 4",Jordan Pickford,
11,Newcastle Utd,18,6,5,7,23,23,0,23,1.28,24.3,19.5,4.8,0.27,D W L D L,52152,Nick Woltemade - 7,Nick Pope,
12,Brentford,17,7,2,8,24,25,-1,23,1.35,23.7,22.2,1.5,0.09,W L L D W,17076,Thiago - 11,Caoimhín Kelleher,
13,Fulham,17,7,2,8,24,26,-2,23,1.35,18.4,22.5,-4.0,-0.24,W L L W W,27032,Harry Wilson - 5,Bernd Leno,
14,Tottenham,17,6,4,7,26,23,3,22,1.29,16.2,22.6,-6.5,-0.38,L D W L L,61001,Richarlison - 7,Guglielmo Vicario,
15,Bournemouth,17,5,7,5,26,29,-3,22,1.29,24.1,23.2,1.0,0.06,L L D D D,11133,Antoine Semenyo - 8,Đorđe Petrović,
16,Leeds United,17,5,4,8,24,31,-7,19,1.12,23.9,23.8,0.1,0.01,L W D D W,36708,Dominic Calvert-Lewin - 7,Lucas Perri,
17,Nott'ham Forest,17,5,3,9,17,26,-9,18,1.06,20.2,24.2,-4.1,-0.24,L W L W L,30434,"Morgan Gibbs-White, Callum Hudson-Odoi - 3",Matz Sels,
18,West Ham,17,3,4,10,19,35,-16,13,0.76,17.4,27.9,-10.5,-0.62,L D D L L,62454,Jarrod Bowen - 5,Alphonse Areola,
19,Burnley,17,3,2,12,19,34,-15,11,0.65,14.8,33.9,-19.1,-1.12,L L L L D,21028,Zian Flemming - 5,Martin Dúbravka,
20,Wolves,17,0,2,15,9,37,-28,2,0.12,14.9,25.3,-10.5,-0.61,L L L L L,29753,"Hwang Hee-chan, Santiago Bueno... - 1",Sam Johnstone,
