Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
David Raya,es ESP,GK,30-072,12,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Riccardo Calafiori,it ITA,DF,23-191,12,12,945.0,10.5,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,2.3,2.3,0.5,2.8,20.0,38.0,43.0,0.1,0.19,0.29,0.1,0.29,0.22,0.05,0.26,0.22,0.26,Matches,Arsenal
Martín Zubimendi,es ESP,MF,26-297,12,11,1027.0,11.4,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,0.6,0.6,0.9,1.5,13.0,68.0,10.0,0.18,0.09,0.26,0.18,0.26,0.05,0.08,0.13,0.05,0.13,Matches,Arsenal
Gabriel Magalhães,br BRA,DF,27-342,11,11,990.0,11.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,1.4,2.2,6.0,39.0,1.0,0.09,0.18,0.27,0.09,0.27,0.07,0.13,0.2,0.07,0.2,Matches,Arsenal
Declan Rice,eng ENG,MF,26-316,12,11,984.0,10.9,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,2.2,3.5,29.0,82.0,28.0,0.18,0.27,0.46,0.18,0.46,0.12,0.2,0.32,0.12,0.32,Matches,Arsenal
Jurriën Timber,nl NED,DF,24-162,12,11,972.0,10.8,2.0,2.0,4.0,2.0,0.0,0.0,2.0,0.0,2.5,2.5,0.6,3.1,18.0,63.0,53.0,0.19,0.19,0.37,0.19,0.37,0.23,0.06,0.29,0.23,0.29,Matches,Arsenal
William Saliba,fr FRA,DF,24-247,11,10,814.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.3,4.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,Arsenal
Viktor Gyökeres,se SWE,FW,27-175,10,10,800.0,8.9,4.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,4.6,3.8,1.0,4.8,8.0,11.0,51.0,0.45,0.0,0.45,0.34,0.34,0.51,0.12,0.63,0.42,0.54,Matches,Arsenal
Bukayo Saka,eng ENG,FW,24-082,10,9,771.0,8.6,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,2.5,1.7,2.3,4.0,35.0,19.0,107.0,0.35,0.0,0.35,0.23,0.23,0.29,0.27,0.56,0.2,0.47,Matches,Arsenal
Leandro Trossard,be BEL,FW,30-357,10,8,720.0,8.0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.1,3.0,21.0,29.0,80.0,0.37,0.37,0.75,0.37,0.75,0.25,0.13,0.38,0.25,0.38,Matches,Arsenal
Eberechi Eze,eng ENG,"MF,FW",27-150,10,8,708.0,7.9,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,2.3,2.3,1.1,3.3,19.0,35.0,36.0,0.51,0.25,0.76,0.51,0.76,0.29,0.14,0.42,0.29,0.42,Matches,Arsenal
Mikel Merino,es ESP,"MF,FW",29-157,11,5,505.0,5.6,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,1.4,8.0,21.0,24.0,0.18,0.36,0.53,0.18,0.53,0.14,0.1,0.24,0.14,0.24,Matches,Arsenal
Noni Madueke,eng ENG,FW,23-261,6,4,317.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,1.1,19.0,10.0,45.0,0.0,0.0,0.0,0.0,0.0,0.08,0.24,0.32,0.08,0.32,Matches,Arsenal
Martin Ødegaard,no NOR,MF,26-344,6,4,203.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,10.0,26.0,5.0,0.0,0.44,0.44,0.0,0.44,0.06,0.2,0.27,0.06,0.27,Matches,Arsenal
Cristhian Mosquera,es ESP,DF,21-152,8,2,300.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Arsenal
Gabriel Martinelli,br BRA,"FW,MF",24-161,8,2,220.0,2.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.1,0.9,7.0,5.0,10.0,0.41,0.0,0.41,0.41,0.41,0.32,0.05,0.37,0.32,0.37,Matches,Arsenal
Piero Hincapié,ec ECU,DF,23-321,3,1,115.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Ben White,eng ENG,DF,28-049,1,1,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.07,0.02,0.07,Matches,Arsenal
Ethan Nwaneri,eng ENG,MF,18-250,6,0,171.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,7.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.14,0.12,0.14,Matches,Arsenal
Myles Lewis-Skelly,eng ENG,DF,19-061,8,0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
Kai Havertz,de GER,FW,26-168,1,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Arsenal
